threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.535,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.54,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.545,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.55,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.555,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.56,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.565,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.57,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.575,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.58,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.585,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.59,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.595,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.6,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.605,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.61,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.615,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.62,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.625,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.63,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.635,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.64,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.645,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.65,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.655,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.66,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.665,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.67,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.675,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.68,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.685,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.69,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.695,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.7,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.705,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.71,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.715,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
